1,ACG-26-3-1
3,ACG-26-3-2
6,ACG-26-3-3
7,ACG-26-3-4
9,ACG-26-3-5
12,ACG-26-3-6
13,ACG-26-3-7
15,ACG-26-3-8
22,Control1
24,Control2
